contig window number,position in contig,number of reads starting in window,%GC content
NZ_LLJK01000001.1-0,0-100,18,0.398355086715537
NZ_LLJK01000001.1-1,100-200,65,0.38619999046302
NZ_LLJK01000001.1-2,200-300,66,0.380497783839073
NZ_LLJK01000001.1-3,300-400,65,0.366595649804291
NZ_LLJK01000001.1-4,400-500,76,0.342826825127334
NZ_LLJK01000001.1-5,500-600,47,0.350281659228912
NZ_LLJK01000001.1-6,600-700,56,0.338224553482504
NZ_LLJK01000001.1-7,700-800,63,0.365044395487015
NZ_LLJK01000001.1-8,800-900,51,0.412393315642258
NZ_LLJK01000001.1-9,900-1000,68,0.437403472644732
NZ_LLJK01000001.1-10,1000-1100,60,0.4762234410778
NZ_LLJK01000001.1-11,1100-1200,68,0.49859763667295
NZ_LLJK01000001.1-12,1200-1300,54,0.477546296296296
NZ_LLJK01000001.1-13,1300-1400,44,0.418809342296763
NZ_LLJK01000001.1-14,1400-1500,44,0.313236756142593
NZ_LLJK01000001.1-15,1500-1600,29,0.285400899418668
NZ_LLJK01000001.1-16,1600-1700,26,0.277835859905907
NZ_LLJK01000001.1-17,1700-1800,46,0.325260862793957
NZ_LLJK01000001.1-18,1800-1900,49,0.399394503959013
NZ_LLJK01000001.1-19,1900-2000,42,0.410612470112194
NZ_LLJK01000001.1-20,2000-2100,92,0.36873229025502
NZ_LLJK01000001.1-21,2100-2200,52,0.352741735671905
NZ_LLJK01000001.1-22,2200-2300,31,0.373118279569892
NZ_LLJK01000001.1-23,2300-2400,114,0.400851063829787
NZ_LLJK01000001.1-24,2400-2500,82,0.410853026869537
NZ_LLJK01000001.1-25,2500-2600,75,0.38623990165086
NZ_LLJK01000001.1-26,2600-2700,66,0.379219548159461
NZ_LLJK01000001.1-27,2700-2800,56,0.388347741385608
NZ_LLJK01000001.1-28,2800-2900,54,0.394832166143444
NZ_LLJK01000001.1-29,2900-3000,91,0.39637419695503
NZ_LLJK01000001.1-30,3000-3100,104,0.382089443083336
NZ_LLJK01000001.1-31,3100-3200,68,0.38215725316886
NZ_LLJK01000001.1-32,3200-3300,81,0.380332919679918
NZ_LLJK01000001.1-33,3300-3400,81,0.3693858472544
NZ_LLJK01000001.1-34,3400-3500,90,0.396751902907854
NZ_LLJK01000001.1-35,3500-3600,58,0.420901246404602
NZ_LLJK01000001.1-36,3600-3700,80,0.447203315715426
NZ_LLJK01000001.1-37,3700-3800,69,0.4403155677081
NZ_LLJK01000001.1-38,3800-3900,7,0.41820873427091
NZ_LLJK01000001.1-39,3900-4000,1,0.396946564885496
NZ_LLJK01000001.1-40,4000-4100,1,0.411764705882353
NZ_LLJK01000001.1-42,4200-4300,1,0.351351351351351
NZ_LLJK01000001.1-43,4300-4400,33,0.388758553274682
NZ_LLJK01000001.1-44,4400-4500,46,0.377688738928722
NZ_LLJK01000001.1-45,4500-4600,69,0.364294384750258
NZ_LLJK01000001.1-46,4600-4700,50,0.34999673693141
NZ_LLJK01000001.1-47,4700-4800,45,0.347367567129066
NZ_LLJK01000001.1-48,4800-4900,56,0.378043414491053
NZ_LLJK01000001.1-49,4900-5000,37,0.410120545767651
NZ_LLJK01000001.1-50,5000-5100,62,0.412301027604272
NZ_LLJK01000001.1-51,5100-5200,61,0.406338886631451
NZ_LLJK01000001.1-52,5200-5300,68,0.394609981176254
NZ_LLJK01000001.1-53,5300-5400,67,0.397864933859364
NZ_LLJK01000001.1-54,5400-5500,65,0.407637783885433
NZ_LLJK01000001.1-55,5500-5600,66,0.395111111111111
NZ_LLJK01000001.1-56,5600-5700,25,0.386152656008252
NZ_LLJK01000001.1-57,5700-5800,21,0.382420971472629
NZ_LLJK01000001.1-58,5800-5900,5,0.372836218375499
NZ_LLJK01000001.1-59,5900-6000,3,0.353909465020576
NZ_LLJK01000001.1-61,6100-6200,3,0.370860927152318
NZ_LLJK01000001.1-62,6200-6300,3,0.344202898550725
NZ_LLJK01000001.1-65,6500-6600,32,0.387724992623193
NZ_LLJK01000001.1-66,6600-6700,43,0.32640197072888
NZ_LLJK01000001.1-67,6700-6800,48,0.285388281092691
NZ_LLJK01000001.1-68,6800-6900,27,0.295045632333768
NZ_LLJK01000001.1-69,6900-7000,75,0.286253184401333
NZ_LLJK01000001.1-70,7000-7100,102,0.302794235973959
NZ_LLJK01000001.1-71,7100-7200,60,0.342388630773435
NZ_LLJK01000001.1-72,7200-7300,67,0.371948799364953
NZ_LLJK01000001.1-73,7300-7400,53,0.40239985455427
NZ_LLJK01000001.1-74,7400-7500,58,0.412836308113516
NZ_LLJK01000001.1-75,7500-7600,53,0.408652440806782
NZ_LLJK01000001.1-76,7600-7700,59,0.403777305038136
NZ_LLJK01000001.1-77,7700-7800,74,0.396648546655285
NZ_LLJK01000001.1-78,7800-7900,59,0.404014766958929
NZ_LLJK01000001.1-79,7900-8000,59,0.416138049672078
NZ_LLJK01000001.1-80,8000-8100,53,0.419362568895279
NZ_LLJK01000001.1-81,8100-8200,65,0.40391023128185
NZ_LLJK01000001.1-82,8200-8300,79,0.383186423922893
NZ_LLJK01000001.1-83,8300-8400,65,0.357394621215779
NZ_LLJK01000001.1-84,8400-8500,66,0.358009058588613
NZ_LLJK01000001.1-85,8500-8600,58,0.363159070598749
NZ_LLJK01000001.1-86,8600-8700,66,0.368981827234254
NZ_LLJK01000001.1-87,8700-8800,57,0.363094194001052
NZ_LLJK01000001.1-88,8800-8900,80,0.368326406649616
NZ_LLJK01000001.1-89,8900-9000,46,0.387426691460449
